x, y, head, bump, ifr, batt
24, 25, 90.0, 0, 0, 799.4
24, 26, 90.0, 0, 0, 798.0
24, 27, 90.0, 0, 0, 796.6
24, 28, 90.0, 0, 0, 795.2
23, 28, 180.0, 0, 0, 793.7
22, 28, 180.0, 0, 0, 792.3
21, 28, 180.0, 0, 0, 790.9
20, 28, 180.0, 0, 0, 789.5
20, 27, 270.0, 0, 0, 788.0
20, 26, 270.0, 0, 0, 786.6
20, 25, 270.0, 0, 0, 785.2
20, 24, 270.0, 0, 0, 783.8
20, 24, 3.8, 0, 0, 782.2
21, 24, 3.8, 0, 0, 780.8
22, 24, 3.8, 0, 0, 779.4
23, 24, 3.8, 0, 0, 778.0
24, 24, 3.8, 0, 0, 776.6
25, 24, 3.8, 0, 0, 775.2
26, 24, 3.8, 0, 0, 773.8
27, 24, 3.8, 0, 0, 772.4
28, 24, 3.8, 0, 0, 771.0
29, 24, 3.8, 0, 0, 769.6
30, 24, 3.8, 0, 0, 768.2
31, 24, 3.8, 0, 0, 766.8
32, 24, 3.8, 0, 0, 765.4
33, 24, 3.8, 0, 0, 764.0
34, 24, 3.8, 0, 0, 762.6
35, 25, 3.8, 0, 0, 761.2
36, 25, 3.8, 0, 0, 759.8
37, 25, 3.8, 0, 0, 758.4
38, 25, 3.8, 0, 0, 757.0
39, 25, 3.8, 0, 0, 755.6
40, 25, 3.8, 0, 0, 754.2
41, 25, 3.8, 0, 0, 752.8
42, 25, 3.8, 0, 0, 751.4
43, 25, 3.8, 0, 0, 750.0
44, 25, 3.8, 0, 0, 748.6
45, 25, 3.8, 0, 0, 747.2
46, 25, 3.8, 0, 0, 745.8
47, 25, 3.8, 0, 0, 744.4
48, 25, 3.8, 0, 0, 743.0
48, 25, 3.8, 1, 0, 741.5
48, 24, 300.3, 0, 0, 740.0
48, 24, 300.3, 1, 0, 739.5
48, 23, 314.0, 0, 0, 738.0
48, 23, 314.0, 1, 0, 737.5
48, 22, 289.7, 0, 0, 736.0
48, 21, 289.7, 0, 1, 734.6
48, 21, 289.7, 0, 0, 734.1
48, 21, 0.0, 1, 0, 733.5
48, 22, 90.0, 0, 0, 732.0
47, 22, 180.0, 0, 0, 730.5
47, 21, 270.0, 0, 0, 729.0
48, 21, 0.0, 0, 0, 727.5
48, 22, 90.0, 0, 0, 726.0
48, 23, 90.0, 0, 0, 724.6
47, 23, 180.0, 0, 0, 723.1
46, 23, 180.0, 0, 0, 721.7
46, 22, 270.0, 0, 0, 720.2
46, 21, 270.0, 0, 1, 718.8
46, 21, 0.0, 0, 0, 718.2
47, 21, 0.0, 0, 0, 716.8
48, 21, 0.0, 0, 0, 715.4
48, 22, 90.0, 0, 0, 713.9
48, 23, 90.0, 0, 0, 712.5
47, 23, 180.0, 0, 0, 711.0
46, 23, 180.0, 0, 0, 709.6
45, 23, 180.0, 0, 0, 708.2
45, 22, 270.0, 0, 0, 706.7
45, 21, 270.0, 0, 0, 705.3
45, 20, 270.0, 0, 0, 703.9
46, 20, 0.0, 0, 0, 702.4
47, 20, 0.0, 0, 0, 701.0
48, 20, 0.0, 0, 3, 699.6
48, 20, 90.0, 0, 2, 699.0
48, 20, 90.0, 0, 1, 698.5
48, 20, 90.0, 0, 0, 698.0
48, 21, 90.0, 0, 0, 696.6
48, 22, 90.0, 0, 0, 695.2
48, 23, 90.0, 0, 0, 693.8
47, 23, 180.0, 0, 0, 692.3
46, 23, 180.0, 0, 0, 690.9
45, 23, 180.0, 0, 0, 689.5
45, 22, 270.0, 0, 0, 688.0
45, 21, 270.0, 0, 0, 686.6
45, 20, 270.0, 0, 0, 685.2
45, 19, 270.0, 0, 0, 683.8
46, 19, 0.0, 0, 0, 682.3
47, 19, 0.0, 0, 0, 680.9
48, 19, 0.0, 0, 0, 679.5
48, 19, 0.0, 1, 0, 678.5
48, 20, 90.0, 0, 0, 677.0
48, 21, 90.0, 0, 0, 675.6
48, 22, 90.0, 0, 0, 674.2
48, 23, 90.0, 0, 0, 672.8
47, 22, 180.0, 0, 0, 671.3
46, 22, 180.0, 0, 0, 669.9
45, 22, 180.0, 0, 0, 668.5
44, 22, 180.0, 0, 1, 667.1
44, 22, 270.0, 0, 0, 666.5
44, 21, 270.0, 0, 0, 665.1
44, 20, 270.0, 0, 0, 663.7
44, 19, 270.0, 0, 0, 662.3
44, 18, 270.0, 0, 0, 660.9
44, 19, 32.4, 0, 0, 659.3
45, 20, 32.4, 0, 0, 657.9
46, 20, 32.4, 0, 0, 656.5
47, 21, 32.4, 0, 0, 655.1
48, 21, 32.4, 0, 0, 653.7
48, 21, 32.4, 1, 0, 652.5
48, 21, 22.6, 0, 0, 651.0
48, 21, 22.6, 1, 0, 650.5
47, 21, 159.4, 0, 0, 649.0
46, 21, 159.4, 0, 0, 647.6
45, 22, 159.4, 0, 0, 646.2
44, 22, 159.4, 0, 0, 644.8
43, 22, 159.4, 0, 0, 643.4
42, 23, 159.4, 0, 0, 642.0
41, 23, 159.4, 0, 0, 640.6
40, 23, 159.4, 0, 0, 639.2
39, 24, 159.4, 0, 0, 637.8
38, 24, 159.4, 0, 0, 636.4
37, 24, 159.4, 0, 0, 635.0
36, 25, 159.4, 0, 0, 633.6
35, 25, 159.4, 0, 0, 632.2
34, 25, 159.4, 0, 0, 630.8
33, 26, 159.4, 0, 0, 629.4
33, 26, 159.4, 0, 0, 628.0
32, 26, 159.4, 0, 0, 626.6
31, 27, 159.4, 0, 0, 625.2
30, 27, 159.4, 0, 0, 623.8
29, 28, 159.4, 0, 0, 622.4
